cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_91",12.44,15.52,25.74,true,"WHAT_Qn","Easy","EEM","medium"
"cntrQ_92",34.84,34.69,18.99,true,"WHAT_Qn","Easy","EMM","medium"
"cntrQ_93",58.17,56.13,48.86,false,"WHAT_Qn","Easy","EHM","medium"
"cntrQ_94",37.99,44.19,27.93,true,"WHAT_Qn","Medium","MEM","medium"
"cntrQ_95",66.39,64.01,61.04,true,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_96",88.52,77.48,7.44,false,"WHAT_Qn","Medium","MHM","medium"
"cntrQ_97",46.66,43.3,21.95,false,"WHAT_Qn","Hard","HEM","medium"
"cntrQ_98",41.64,43.31,59.38,false,"WHAT_Qn","Hard","HMM","medium"
"cntrQ_99",15.12,27.05,23.84,true,"WHAT_Qn","Hard","HHM","medium"
"cntrQ_100",17.54,24.93,8.74,true,"WHAT_Qn","Easy","EEH","medium"
"cntrQ_101",54.34,77.48,2.63,false,"WHAT_Qn","Easy","EMH","medium"
"cntrQ_102",33.99,27.34,6.19,true,"WHAT_Qn","Easy","EHH","medium"
"cntrQ_103",25.88,37.06,23.99,true,"WHAT_Qn","Medium","MEH","medium"
"cntrQ_104",38.46,36.42,48.41,true,"WHAT_Qn","Medium","MMH","medium"
"cntrQ_105",59.66,56.13,44.53,false,"WHAT_Qn","Medium","MHH","medium"
"cntrQ_106",50.31,46.62,17.94,true,"WHAT_Qn","Hard","HEH","medium"
"cntrQ_107",14.31,23.06,10.23,true,"WHAT_Qn","Hard","HMH","medium"
"cntrQ_108",56.29,56.78,45.54,true,"WHAT_Qn","Hard","HHH","medium"
"cntrQ_109",30.14,78.73,30.14,true,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_110",10.35,46.04,35.42,false,"WHAT_Ql","Medium","EME","medium"
"cntrQ_111",19.13,71.6,20.78,false,"WHAT_Ql","Hard","EHE","medium"
"cntrQ_112",4.32,15.02,12.13,false,"WHAT_Ql","Easy","MEE","medium"
"cntrQ_113",22.19,78.21,33.6,true,"WHAT_Ql","Medium","MME","medium"
"cntrQ_114",20.13,58.62,30.53,false,"WHAT_Ql","Hard","MHE","medium"
"cntrQ_115",4.9,33.52,43.92,true,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_116",13.74,72.51,31.8,true,"WHAT_Ql","Medium","HME","medium"
"cntrQ_117",3.96,18.64,20.97,true,"WHAT_Ql","Hard","HHE","medium"
"cntrQ_118",34.51,84.16,34.51,false,"WHAT_Ql","Easy","EEM","medium"
"cntrQ_119",0.7,56.7,4.94,false,"WHAT_Ql","Medium","EMM","medium"
"cntrQ_120",15.38,33.47,27.85,true,"WHAT_Ql","Hard","EHM","medium"
"cntrQ_121",21.41,54.18,34.45,true,"WHAT_Ql","Easy","MEM","medium"
"cntrQ_122",5.52,15.58,57.98,true,"WHAT_Ql","Medium","MMM","medium"
"cntrQ_123",20.94,44.15,27.92,false,"WHAT_Ql","Hard","MHM","medium"
"cntrQ_124",1.38,3.7,30.32,true,"WHAT_Ql","Easy","HEM","medium"
"cntrQ_125",45.12,65.24,61.78,false,"WHAT_Ql","Medium","HMM","medium"
"cntrQ_126",5.3,28.33,13.93,true,"WHAT_Ql","Hard","HHM","medium"
