cntrQ,image_name,image_link,num_quality_changes,numMask,alt_diff_qual,alt_diff_mask,idc,flips,focus,changesMaskStatus,refined_mask
117,idc33-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_medium-dCmplx_HHE-fcs_WHAT_Ql-bsln_3.96)18.64)20.97_t-cntrQ_117.png,IM_4Oq58FFwHl8jpzM,12,3,hard,easy,33,h1v1,WHAT_Ql,5,easy
118,idc63-eG-gO-qry_hO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_EEM-fcs_WHAT_Ql-bsln_34.51)84.16)34.51_f-cntrQ_118.png,IM_a4s0lnhvSVY6uG2,1,6,easy,medium,63,h1v1,WHAT_Ql,12,medium
119,idc32-sF-rO-qry_wO_gte_1-flips_h1v1-nMasks_4-dMask_medium-dCmplx_EMM-fcs_WHAT_Ql-bsln_0.70)56.70)4.94_f-cntrQ_119.png,IM_elWKJRJsSp39V7U,11,4,medium,easy,32,h1v1,WHAT_Ql,7,easy
120,idc54-sF-rO-qry_hO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_EHM-fcs_WHAT_Ql-bsln_15.38)33.47)27.85_t-cntrQ_120.png,IM_afmeIqGcBJy2HYO,17,6,hard,medium,54,h1v1,WHAT_Ql,12,medium
121,idc61-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_7-dMask_medium-dCmplx_MEM-fcs_WHAT_Ql-bsln_21.41)54.18)34.45_t-cntrQ_121.png,IM_a9UvIHoYXudwDf8,5,7,easy,medium,61,h1v1,WHAT_Ql,13,medium
122,idc59-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_10-dMask_medium-dCmplx_MMM-fcs_WHAT_Ql-bsln_5.52)15.58)57.98_t-cntrQ_122.png,IM_5C5yLQ8bphhoGXQ,8,10,medium,medium,59,h1v1,WHAT_Ql,19,hard
123,idc22-eC-rO-qry_hO_gte_1-flips_h1v1-nMasks_7-dMask_medium-dCmplx_MHM-fcs_WHAT_Ql-bsln_20.94)44.15)27.92_f-cntrQ_123.png,IM_a91R19d7xzTLxGe,17,7,hard,medium,22,h1v1,WHAT_Ql,13,medium
124,idc41-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_medium-dCmplx_HEM-fcs_WHAT_Ql-bsln_1.38)3.70)30.32_t-cntrQ_124.png,IM_0BS2MU75IXe3TOS,1,9,easy,medium,41,h1v1,WHAT_Ql,17,medium
125,idc3-sF-rO-qry_wO_gte_1-flips_h1v1-nMasks_11-dMask_medium-dCmplx_HMM-fcs_WHAT_Ql-bsln_45.12)65.24)61.78_f-cntrQ_125.png,IM_bO8l4ZlEGVV1JLo,10,11,medium,medium,3,h1v1,WHAT_Ql,21,hard
126,idc2-sF-wO-qry_hO_gte_1-flips_h1v1-nMasks_8-dMask_medium-dCmplx_HHM-fcs_WHAT_Ql-bsln_5.30)28.33)13.93_t-cntrQ_126.png,IM_5zm0Kudjp2Oa7Qi,17,8,hard,medium,2,h1v1,WHAT_Ql,16,medium
127,idc64-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_8-dMask_medium-dCmplx_EEH-fcs_WHAT_Ql-bsln_8.73)18.69)33.13_t-cntrQ_127.png,IM_8pooE6GdwgqlOwm,1,8,easy,medium,64,h1v1,WHAT_Ql,16,medium
128,idc72-fC-gO-qry_wO_gte_1-flips_h1v1-nMasks_5-dMask_medium-dCmplx_EMH-fcs_WHAT_Ql-bsln_7.14)24.51)33.97_f-cntrQ_128.png,IM_cx6lV0f6lWWsHDU,9,5,medium,easy,72,h1v1,WHAT_Ql,10,medium
129,idc34-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_5-dMask_medium-dCmplx_EHH-fcs_WHAT_Ql-bsln_5.82)21.44)29.13_f-cntrQ_129.png,IM_0quMq3ofZhYUtcq,13,5,hard,easy,34,h1v1,WHAT_Ql,10,medium
130,idc38-eC-wO-qry_rO_gte_1-flips_h1v1-nMasks_7-dMask_medium-dCmplx_MEH-fcs_WHAT_Ql-bsln_10.48)15.47)25.44_f-cntrQ_130.png,IM_8eSplkUz2n4QoRw,5,7,easy,medium,38,h1v1,WHAT_Ql,14,medium
131,idc47-sF-wO-qry_rO_gte_1-flips_h1v1-nMasks_7-dMask_medium-dCmplx_MMH-fcs_WHAT_Ql-bsln_18.93)78.80)35.80_f-cntrQ_131.png,IM_3dVE03qLbF9nrfg,7,7,medium,medium,47,h1v1,WHAT_Ql,13,medium
132,idc20-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_medium-dCmplx_MHH-fcs_WHAT_Ql-bsln_27.11)65.70)39.23_f-cntrQ_132.png,IM_dhZ1yfZttqgAEcK,14,9,hard,medium,20,h1v1,WHAT_Ql,17,medium
133,idc6-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_medium-dCmplx_HEH-fcs_WHAT_Ql-bsln_8.77)51.60)8.77_t-cntrQ_133.png,IM_d6CTHbm6iNF39pc,1,3,easy,easy,6,h1v1,WHAT_Ql,6,easy
134,idc12-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_7-dMask_medium-dCmplx_HMH-fcs_WHAT_Ql-bsln_10.82)24.74)26.54_t-cntrQ_134.png,IM_0jtZsRRaTic3CXc,1,7,easy,medium,12,h1v1,WHAT_Ql,13,medium
135,idc67-eC-wO-qry_hO_gte_1-flips_h1v1-nMasks_4-dMask_medium-dCmplx_HHH-fcs_WHAT_Ql-bsln_9.22)20.17)27.46_t-cntrQ_135.png,IM_3dE5tL6lCWDsmyO,12,4,hard,easy,67,h1v1,WHAT_Ql,8,easy
190,idc1-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_12-dMask_hard-dCmplx_EEE-fcs_WHAT_Ql-bsln_42.75)78.73)58.64_f-cntrQ_190.png,IM_5irWnb3bzKB7ugC,1,12,easy,hard,1,h1v1,WHAT_Ql,23,hard
191,idc68-fC-gO-qry_wO_gte_1-flips_h1v1-nMasks_12-dMask_hard-dCmplx_EME-fcs_WHAT_Ql-bsln_29.70)46.04)56.94_t-cntrQ_191.png,IM_24ulOUozFGUEzAi,9,12,medium,hard,68,h1v1,WHAT_Ql,23,hard
192,idc29-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_14-dMask_hard-dCmplx_EHE-fcs_WHAT_Ql-bsln_36.21)71.60)47.73_t-cntrQ_192.png,IM_6MwbYEKg4Tw0MSy,13,14,hard,hard,29,h1v1,WHAT_Ql,27,hard
193,idc69-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_14-dMask_hard-dCmplx_MEE-fcs_WHAT_Ql-bsln_14.40)15.02)47.73_f-cntrQ_193.png,IM_e33LS8ANtnDHSdw,5,14,easy,hard,69,h1v1,WHAT_Ql,27,hard
194,idc14-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_MME-fcs_WHAT_Ql-bsln_25.93)78.21)36.92_f-cntrQ_194.png,IM_aeN5WaDkNQU7eIK,5,9,easy,medium,14,h1v1,WHAT_Ql,17,medium
195,idc31-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_13-dMask_hard-dCmplx_MHE-fcs_WHAT_Ql-bsln_26.10)58.62)53.09_f-cntrQ_195.png,IM_eg7fAnqtLhs8BN4,17,13,hard,hard,31,h1v1,WHAT_Ql,25,hard
196,idc4-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_7-dMask_hard-dCmplx_HEE-fcs_WHAT_Ql-bsln_12.54)33.52)44.90_f-cntrQ_196.png,IM_00aZscvDz8antz0,5,7,easy,medium,4,h1v1,WHAT_Ql,14,medium
197,idc39-eG-wO-qry_hO_gte_1-flips_h1v1-nMasks_13-dMask_hard-dCmplx_HME-fcs_WHAT_Ql-bsln_34.09)72.51)43.00_t-cntrQ_197.png,IM_2f9GfsQfKfFhzdY,7,13,medium,hard,39,h1v1,WHAT_Ql,26,hard
198,idc33-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_13-dMask_hard-dCmplx_HHE-fcs_WHAT_Ql-bsln_6.29)18.64)55.47_t-cntrQ_198.png,IM_3UFE54oPKi2pCe2,12,13,hard,hard,33,h1v1,WHAT_Ql,25,hard
199,idc63-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_hard-dCmplx_EEM-fcs_WHAT_Ql-bsln_13.00)84.16)13.00_t-cntrQ_199.png,IM_byIrvLRLK2tofJA,1,6,easy,medium,63,h1v1,WHAT_Ql,12,medium
