cntrQ,idc,image_name,image_link,numMask,alt_mask,flips,focus
18,2,idc2-sF-wO-qry_gO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_HHM-fcs_WHAT_Qn-bsln_24.94)27.05)64.76_t-cntrQ_18.png,IM_8csZkdThOS5g8ES,3,easy,h1v1,WHAT_Qn
72,2,idc2-sF-wO-qry_gO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_HHM-fcs_WHERE-bsln_35.36)40.80)64.67_f-cntrQ_72.png,IM_b4x8g0pJrXptZaK,3,easy,h1v1,WHERE
180,2,idc2-sF-wO-qry_hO_gte_1-flips_h1v1-nMasks_12-dMask_hard-dCmplx_HHM-fcs_WHAT_Qn-bsln_24.21)27.05)66.66_t-cntrQ_180.png,IM_5nc2XyQLlkZPKsu,12,hard,h1v1,WHAT_Qn
207,2,idc2-sF-wO-qry_hO_gte_1-flips_h1v1-nMasks_13-dMask_hard-dCmplx_HHM-fcs_WHAT_Ql-bsln_13.18)28.33)57.42_t-cntrQ_207.png,IM_bQ0Zvo8ep3EBbvM,13,hard,h1v1,WHAT_Ql
234,2,idc2-sF-wO-qry_hO_gte_1-flips_h1v1-nMasks_14-dMask_hard-dCmplx_HHM-fcs_WHERE-bsln_41.04)38.45)59.23_t-cntrQ_234.png,IM_a2z6Hg3DpUzDalw,14,hard,h1v1,WHERE
99,2,idc2-sF-wO-qry_hO_gte_1-flips_h1v1-nMasks_4-dMask_medium-dCmplx_HHM-fcs_WHAT_Qn-bsln_15.12)27.05)23.84_t-cntrQ_99.png,IM_9pMfVNWR4JsYY9U,4,easy,h1v1,WHAT_Qn
153,2,idc2-sF-wO-qry_hO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_HHM-fcs_WHERE-bsln_32.37)38.45)16.57_f-cntrQ_153.png,IM_cHBqnrfZIowre50,6,medium,h1v1,WHERE
126,2,idc2-sF-wO-qry_hO_gte_1-flips_h1v1-nMasks_8-dMask_medium-dCmplx_HHM-fcs_WHAT_Ql-bsln_5.30)28.33)13.93_t-cntrQ_126.png,IM_5zm0Kudjp2Oa7Qi,8,medium,h1v1,WHAT_Ql
51,20,idc20-eC-rO-qry_eT_gte_72.34-flips_h1v1-nMasks_4-dMask_easy-dCmplx_MHH-fcs_WHAT_Ql-bsln_27.75)65.70)41.62_t-cntrQ_51.png,IM_en5jMEt6pm3T64e,4,easy,h1v1,WHAT_Ql
24,20,idc20-eC-rO-qry_eT_gte_72.34-flips_h1v1-nMasks_4-dMask_easy-dCmplx_MHH-fcs_WHAT_Qn-bsln_51.67)56.13)39.47_t-cntrQ_24.png,IM_9pfT0t2PgEbeHrw,4,easy,h1v1,WHAT_Qn
78,20,idc20-eC-rO-qry_eT_gte_72.34-flips_h1v1-nMasks_4-dMask_easy-dCmplx_MHH-fcs_WHERE-bsln_44.07)50.09)39.35_f-cntrQ_78.png,IM_eP83dlIHgs2a1WS,4,easy,h1v1,WHERE
186,20,idc20-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_12-dMask_hard-dCmplx_MHH-fcs_WHAT_Qn-bsln_58.38)56.13)70.44_t-cntrQ_186.png,IM_9BpgL6sWX7zTA4S,12,hard,h1v1,WHAT_Qn
240,20,idc20-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_13-dMask_hard-dCmplx_MHH-fcs_WHERE-bsln_52.72)50.09)60.04_t-cntrQ_240.png,IM_eDuLLtWcgbVffWm,13,hard,h1v1,WHERE
213,20,idc20-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_14-dMask_hard-dCmplx_MHH-fcs_WHAT_Ql-bsln_42.74)65.70)62.36_f-cntrQ_213.png,IM_aa8VWKh44qIsd9k,14,hard,h1v1,WHAT_Ql
105,20,idc20-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_medium-dCmplx_MHH-fcs_WHAT_Qn-bsln_59.66)56.13)44.53_f-cntrQ_105.png,IM_71YZElXTRZZT8nI,3,easy,h1v1,WHAT_Qn
159,20,idc20-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MHH-fcs_WHERE-bsln_34.35)50.09)34.68_t-cntrQ_159.png,IM_9vJQsX8YSpjBHkG,6,medium,h1v1,WHERE
132,20,idc20-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_medium-dCmplx_MHH-fcs_WHAT_Ql-bsln_27.11)65.70)39.23_f-cntrQ_132.png,IM_dhZ1yfZttqgAEcK,9,medium,h1v1,WHAT_Ql
42,22,idc22-eC-rO-qry_gO_gte_1-flips_h1v1-nMasks_2-dMask_easy-dCmplx_MHM-fcs_WHAT_Ql-bsln_1.39)44.15)27.39_t-cntrQ_42.png,IM_9GrFuYMYHKKktL0,2,easy,h1v1,WHAT_Ql
15,22,idc22-eC-rO-qry_gO_gte_1-flips_h1v1-nMasks_2-dMask_easy-dCmplx_MHM-fcs_WHAT_Qn-bsln_69.24)77.48)25.06_f-cntrQ_15.png,IM_bkniCBAGvL7lJYO,2,easy,h1v1,WHAT_Qn
69,22,idc22-eC-rO-qry_gO_gte_1-flips_h1v1-nMasks_2-dMask_easy-dCmplx_MHM-fcs_WHERE-bsln_16.28)51.55)25.12_f-cntrQ_69.png,IM_4OXgEMiTVYOxZUW,2,easy,h1v1,WHERE
96,22,idc22-eC-rO-qry_hO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MHM-fcs_WHAT_Qn-bsln_88.52)77.48)7.44_f-cntrQ_96.png,IM_3avex3iAxax0l70,6,medium,h1v1,WHAT_Qn
123,22,idc22-eC-rO-qry_hO_gte_1-flips_h1v1-nMasks_7-dMask_medium-dCmplx_MHM-fcs_WHAT_Ql-bsln_20.94)44.15)27.92_f-cntrQ_123.png,IM_a91R19d7xzTLxGe,7,medium,h1v1,WHAT_Ql
150,22,idc22-eC-rO-qry_hO_gte_1-flips_h1v1-nMasks_9-dMask_medium-dCmplx_MHM-fcs_WHERE-bsln_52.25)51.55)30.84_t-cntrQ_150.png,IM_9ZgachfZ1FajDfM,9,medium,h1v1,WHERE
177,22,idc22-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_12-dMask_hard-dCmplx_MHM-fcs_WHAT_Qn-bsln_82.56)77.48)30.27_t-cntrQ_177.png,IM_ahNbqqeanGjFAto,12,hard,h1v1,WHAT_Qn
204,22,idc22-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_14-dMask_hard-dCmplx_MHM-fcs_WHAT_Ql-bsln_24.60)44.15)55.84_f-cntrQ_204.png,IM_8eIM4HbBPWjMKDY,14,hard,h1v1,WHAT_Ql
231,22,idc22-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_14-dMask_hard-dCmplx_MHM-fcs_WHERE-bsln_47.84)47.33)56.21_f-cntrQ_231.png,IM_9ThLaRJOvEhUX8G,14,hard,h1v1,WHERE
84,29,idc29-eG-rO-qry_fC_gte_44.75-flips_h1v1-nMasks_10-dMask_medium-dCmplx_EHE-fcs_WHAT_Qn-bsln_41.05)34.69)48.12_t-cntrQ_84.png,IM_7ZYp6aunSxLwJHE,10,hard,h1v1,WHAT_Qn
111,29,idc29-eG-rO-qry_hO_gte_1-flips_h1v1-nMasks_5-dMask_medium-dCmplx_EHE-fcs_WHAT_Ql-bsln_19.13)71.60)20.78_f-cntrQ_111.png,IM_1Mk4MMllVEje0U6,5,easy,h1v1,WHAT_Ql
138,29,idc29-eG-rO-qry_hO_gte_1-flips_h1v1-nMasks_5-dMask_medium-dCmplx_EHE-fcs_WHERE-bsln_12.97)14.99)36.46_t-cntrQ_138.png,IM_bkBkcaZJLEUmmMe,5,easy,h1v1,WHERE
192,29,idc29-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_14-dMask_hard-dCmplx_EHE-fcs_WHAT_Ql-bsln_36.21)71.60)47.73_t-cntrQ_192.png,IM_6MwbYEKg4Tw0MSy,14,hard,h1v1,WHAT_Ql
165,29,idc29-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_14-dMask_hard-dCmplx_EHE-fcs_WHAT_Qn-bsln_38.18)34.69)58.82_t-cntrQ_165.png,IM_5j4fy70J4h6S1oO,14,hard,h1v1,WHAT_Qn
219,29,idc29-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_14-dMask_hard-dCmplx_EHE-fcs_WHERE-bsln_22.62)21.78)62.19_t-cntrQ_219.png,IM_1TE8RmOTBMHH0x0,14,hard,h1v1,WHERE
30,29,idc29-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_4-dMask_easy-dCmplx_EHE-fcs_WHAT_Ql-bsln_49.99)71.60)65.02_t-cntrQ_30.png,IM_8zVLRn0MMGt06Lc,4,easy,h1v1,WHAT_Ql
57,29,idc29-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_4-dMask_easy-dCmplx_EHE-fcs_WHAT_Ql-bsln_49.99)71.60)65.02_t-cntrQ_57.png,IM_8dDYPxSfq0FwQYK,4,easy,h1v1,WHAT_Ql
3,29,idc29-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_4-dMask_easy-dCmplx_EHE-fcs_WHAT_Qn-bsln_31.48)34.69)64.97_t-cntrQ_3.png,IM_bNMoiVdCDjYFDDM,4,easy,h1v1,WHAT_Qn
44,3,idc3-sF-rO-qry_hO_gte_1-flips_h1v1-nMasks_2-dMask_easy-dCmplx_HMM-fcs_WHAT_Ql-bsln_13.00)65.24)19.71_f-cntrQ_44.png,IM_5jwTIMGmRTONzzo,2,easy,h1v1,WHAT_Ql
