"","mean_CI","low_CI","high_CI","category_combination","focus","question","orderCategoryCombination","filterType","filterValue","X5","significantDifference","sizeSignificantDifference"
"63",0.391304347826087,0.191505586571468,0.590607456906793,"dComplex_focus,H","WHERE","reverseB","focus complexity: Hard","p",20,NA,NA,NA
"64",0.111111111111111,-0.152784409056045,0.3747399646116,"dComplex_focus,E_M","WHAT_Ql","reverseB","focus complexity: Easy-Medium","p",20,"",FALSE,0
"65",0.111111111111111,-0.148732047458323,0.370320936347212,"dComplex_focus,E_H","WHAT_Ql","reverseB","focus complexity: Easy-Hard","p",20,"",FALSE,0
"66",-0.111111111111111,-0.344148573797692,0.123585610834729,"dComplex_focus,M_H","WHAT_Ql","reverseB","focus complexity: Medium-Hard","p",20,"",FALSE,0
"67",0.2,-0.0713885291965164,0.473188529196516,"dComplex_focus,E_M","WHAT_Qn","reverseB","focus complexity: Easy-Medium","p",20,"",FALSE,0
"68",0.0666666666666667,-0.219462585905409,0.353955919238742,"dComplex_focus,E_H","WHAT_Qn","reverseB","focus complexity: Easy-Hard","p",20,"",FALSE,0
"69",-0.0588235294117647,-0.36247443056085,0.246156783502026,"dComplex_focus,M_H","WHAT_Qn","reverseB","focus complexity: Medium-Hard","p",20,"",FALSE,0
"70",-0.416666666666667,-0.69486119644588,-0.139572136887453,"dComplex_focus,E_M","WHERE","reverseB","focus complexity: Easy-Medium","p",20,"",TRUE,1
"71",-0.25,-0.58522379316251,0.09152379316251,"dComplex_focus,E_H","WHERE","reverseB","focus complexity: Easy-Hard","p",20,"",FALSE,0
"72",0.130434782608696,-0.171546321208525,0.433902842947656,"dComplex_focus,M_H","WHERE","reverseB","focus complexity: Medium-Hard","p",20,"",FALSE,0
"73",0.444444444444444,0.21552610359428,0.676007229739053,"dComplex_focus,E","WHAT_Ql","reverseB","focus complexity: Easy","p",25,NA,NA,NA
"74",0.34375,0.180108346668167,0.509816653331833,"dComplex_focus,M","WHAT_Ql","reverseB","focus complexity: Medium","p",25,NA,NA,NA
"75",0.444444444444444,0.253699051005592,0.636360208253667,"dComplex_focus,H","WHAT_Ql","reverseB","focus complexity: Hard","p",25,NA,NA,NA
"76",0.416666666666667,0.138971398835049,0.696228601164951,"dComplex_focus,E","WHAT_Qn","reverseB","focus complexity: Easy","p",25,NA,NA,NA
"77",0.363636363636364,0.164726639146611,0.561491542671571,"dComplex_focus,M","WHAT_Qn","reverseB","focus complexity: Medium","p",25,NA,NA,NA
"78",0.375,0.139007462314203,0.611680037685797,"dComplex_focus,H","WHAT_Qn","reverseB","focus complexity: Hard","p",25,NA,NA,NA
"79",0.0909090909090909,-0.0795614810763905,0.260525117440027,"dComplex_focus,E","WHERE","reverseB","focus complexity: Easy","p",25,NA,NA,NA
"80",0.541666666666667,0.344264786346844,0.741576880319822,"dComplex_focus,M","WHERE","reverseB","focus complexity: Medium","p",25,NA,NA,NA
"81",0.409090909090909,0.204216322238462,0.612756405034266,"dComplex_focus,H","WHERE","reverseB","focus complexity: Hard","p",25,NA,NA,NA
"82",0.111111111111111,-0.146315339840978,0.372004228729867,"dComplex_focus,E_M","WHAT_Ql","reverseB","focus complexity: Easy-Medium","p",25,"",FALSE,0
"83",0.111111111111111,-0.151635669136897,0.372280113581341,"dComplex_focus,E_H","WHAT_Ql","reverseB","focus complexity: Easy-Hard","p",25,"",FALSE,0
"84",-0.111111111111111,-0.345175402830387,0.126575402830387,"dComplex_focus,M_H","WHAT_Ql","reverseB","focus complexity: Medium-Hard","p",25,"",FALSE,0
"85",0.0833333333333333,-0.283617612491482,0.442150945824816,"dComplex_focus,E_M","WHAT_Qn","reverseB","focus complexity: Easy-Medium","p",25,"",FALSE,0
"86",0.0833333333333333,-0.345116260057872,0.514032926724539,"dComplex_focus,E_H","WHAT_Qn","reverseB","focus complexity: Easy-Hard","p",25,"",FALSE,0
"87",-0.0625,-0.386520668134289,0.258208168134289,"dComplex_focus,M_H","WHAT_Qn","reverseB","focus complexity: Medium-Hard","p",25,"",FALSE,0
"88",-0.454545454545455,-0.746371759630987,-0.165228240369013,"dComplex_focus,E_M","WHERE","reverseB","focus complexity: Easy-Medium","p",25,"",TRUE,1
"89",-0.363636363636364,-0.646529261676789,-0.0791071019595748,"dComplex_focus,E_H","WHERE","reverseB","focus complexity: Easy-Hard","p",25,"",TRUE,1
"90",0.136363636363636,-0.181737476787563,0.453301113151199,"dComplex_focus,M_H","WHERE","reverseB","focus complexity: Medium-Hard","p",25,"",FALSE,0
"91",0.444444444444444,0.213144861169764,0.67438847216357,"dComplex_focus,E","WHAT_Ql","reverseB","focus complexity: Easy","p",35,NA,NA,NA
"92",0.366666666666667,0.192676439409461,0.538950227257205,"dComplex_focus,M","WHAT_Ql","reverseB","focus complexity: Medium","p",35,NA,NA,NA
"93",0.44,0.245852400630732,0.635387599369268,"dComplex_focus,H","WHAT_Ql","reverseB","focus complexity: Hard","p",35,NA,NA,NA
"94",0.416666666666667,0.132748310888101,0.696451689111899,"dComplex_focus,E","WHAT_Qn","reverseB","focus complexity: Easy","p",35,NA,NA,NA
"95",0.4,0.152099905341659,0.648926761325007,"dComplex_focus,M","WHAT_Qn","reverseB","focus complexity: Medium","p",35,NA,NA,NA
"96",0.375,0.138297094311199,0.613765405688801,"dComplex_focus,H","WHAT_Qn","reverseB","focus complexity: Hard","p",35,NA,NA,NA
"97",0.125,-0.106991694314618,0.356791694314618,"dComplex_focus,E","WHERE","reverseB","focus complexity: Easy","p",35,NA,NA,NA
"98",0.5,0.29143888010433,0.706042938077489,"dComplex_focus,M","WHERE","reverseB","focus complexity: Medium","p",35,NA,NA,NA
"99",0.411764705882353,0.17754576881011,0.643383642954595,"dComplex_focus,H","WHERE","reverseB","focus complexity: Hard","p",35,NA,NA,NA
"100",0,-0.30637098607879,0.307015430523234,"dComplex_focus,E_M","WHAT_Ql","reverseB","focus complexity: Easy-Medium","p",35,"",FALSE,0
"101",0.0555555555555556,-0.230638357562269,0.342682802006713,"dComplex_focus,E_H","WHAT_Ql","reverseB","focus complexity: Easy-Hard","p",35,"",FALSE,0
"102",-0.08,-0.325867447992874,0.162747447992874,"dComplex_focus,M_H","WHAT_Ql","reverseB","focus complexity: Medium-Hard","p",35,"",FALSE,0
"103",0.0833333333333333,-0.276798664786326,0.445098664786326,"dComplex_focus,E_M","WHAT_Qn","reverseB","focus complexity: Easy-Medium","p",35,"",FALSE,0
"104",0.0833333333333333,-0.347202421689077,0.51853575502241,"dComplex_focus,E_H","WHAT_Qn","reverseB","focus complexity: Easy-Hard","p",35,"",FALSE,0
"105",0,-0.318543941664833,0.3247306083315,"dComplex_focus,M_H","WHAT_Qn","reverseB","focus complexity: Medium-Hard","p",35,"",FALSE,0
"106",-0.375,-0.709281228394443,-0.0387937716055567,"dComplex_focus,E_M","WHERE","reverseB","focus complexity: Easy-Medium","p",35,"",TRUE,1
"107",-0.5,-0.847140792420164,-0.153584207579836,"dComplex_focus,E_H","WHERE","reverseB","focus complexity: Easy-Hard","p",35,"",TRUE,1
"108",0.0588235294117647,-0.246995109752769,0.364465697988063,"dComplex_focus,M_H","WHERE","reverseB","focus complexity: Medium-Hard","p",35,"",FALSE,0
"109",0.466666666666667,0.213357410399126,0.719469256267541,"dComplex_focus,E","WHAT_Ql","reverseB","focus complexity: Easy","p",40,NA,NA,NA
"110",0.357142857142857,0.180297580242528,0.531888134043186,"dComplex_focus,M","WHAT_Ql","reverseB","focus complexity: Medium","p",40,NA,NA,NA
"111",0.44,0.244566976224363,0.633697023775637,"dComplex_focus,H","WHAT_Ql","reverseB","focus complexity: Hard","p",40,NA,NA,NA
"112",0.363636363636364,0.0792318030561616,0.647713651489293,"dComplex_focus,E","WHAT_Qn","reverseB","focus complexity: Easy","p",40,NA,NA,NA
"113",0.428571428571429,0.16686093737353,0.686981919769327,"dComplex_focus,M","WHAT_Qn","reverseB","focus complexity: Medium","p",40,NA,NA,NA
"114",0.375,0.136119579125699,0.611467920874301,"dComplex_focus,H","WHAT_Qn","reverseB","focus complexity: Hard","p",40,NA,NA,NA
"115",0.166666666666667,-0.133160451108575,0.467460451108575,"dComplex_focus,E","WHERE","reverseB","focus complexity: Easy","p",40,NA,NA,NA
"116",0.5,0.291506495837857,0.709675322343961,"dComplex_focus,M","WHERE","reverseB","focus complexity: Medium","p",40,NA,NA,NA
"117",0.5,0.238608672289249,0.763134184853608,"dComplex_focus,H","WHERE","reverseB","focus complexity: Hard","p",40,NA,NA,NA
"118",0.0666666666666667,-0.272185601702844,0.408265601702844,"dComplex_focus,E_M","WHAT_Ql","reverseB","focus complexity: Easy-Medium","p",40,"",FALSE,0
"119",0.133333333333333,-0.185057502768687,0.449137502768687,"dComplex_focus,E_H","WHAT_Ql","reverseB","focus complexity: Easy-Hard","p",40,"",FALSE,0
"120",-0.08,-0.323232053976178,0.166056053976178,"dComplex_focus,M_H","WHAT_Ql","reverseB","focus complexity: Medium-Hard","p",40,"",FALSE,0
"121",0,-0.35570979014914,0.357291608330958,"dComplex_focus,E_M","WHAT_Qn","reverseB","focus complexity: Easy-Medium","p",40,"",FALSE,0
"122",0,-0.434153811081606,0.434844720172515,"dComplex_focus,E_H","WHAT_Qn","reverseB","focus complexity: Easy-Hard","p",40,"",FALSE,0
"123",0,-0.398084403744581,0.396970118030296,"dComplex_focus,M_H","WHAT_Qn","reverseB","focus complexity: Medium-Hard","p",40,"",FALSE,0
"124",-0.333333333333333,-0.707493161588229,0.0368598282548954,"dComplex_focus,E_M","WHERE","reverseB","focus complexity: Easy-Medium","p",40,"",FALSE,0
"125",-0.666666666666667,-1.04388485119656,-0.29638181547011,"dComplex_focus,E_H","WHERE","reverseB","focus complexity: Easy-Hard","p",40,"",TRUE,1
"126",0,-0.344760376542184,0.341360376542184,"dComplex_focus,M_H","WHERE","reverseB","focus complexity: Medium-Hard","p",40,"",FALSE,0
"127",0.5,0.190803161470115,0.810536838529885,"dComplex_focus,E","WHAT_Ql","reverseB","focus complexity: Easy","p",45,NA,NA,NA
"128",0.375,0.179323494901847,0.56951817176482,"dComplex_focus,M","WHAT_Ql","reverseB","focus complexity: Medium","p",45,NA,NA,NA
"129",0.44,0.247259890218623,0.632780109781377,"dComplex_focus,H","WHAT_Ql","reverseB","focus complexity: Hard","p",45,NA,NA,NA
"130",0.363636363636364,0.0820824649885322,0.64333571682965,"dComplex_focus,E","WHAT_Qn","reverseB","focus complexity: Easy","p",45,NA,NA,NA
"131",0.384615384615385,0.121841078070577,0.64605122962173,"dComplex_focus,M","WHAT_Qn","reverseB","focus complexity: Medium","p",45,NA,NA,NA
"132",0.375,0.135303411715306,0.613134088284694,"dComplex_focus,H","WHAT_Qn","reverseB","focus complexity: Hard","p",45,NA,NA,NA
"133",0.166666666666667,-0.126509649521859,0.465109649521859,"dComplex_focus,E","WHERE","reverseB","focus complexity: Easy","p",45,NA,NA,NA
"134",0.5,0.292814692643316,0.705948943720321,"dComplex_focus,M","WHERE","reverseB","focus complexity: Medium","p",45,NA,NA,NA
"135",0.461538461538462,0.193818313880059,0.731935532273787,"dComplex_focus,H","WHERE","reverseB","focus complexity: Hard","p",45,NA,NA,NA
"136",0.2,-0.26182175275382,0.66570175275382,"dComplex_focus,E_M","WHAT_Ql","reverseB","focus complexity: Easy-Medium","p",45,"",FALSE,0
"137",0.1,-0.339032441447769,0.538672441447768,"dComplex_focus,E_H","WHAT_Ql","reverseB","focus complexity: Easy-Hard","p",45,"",FALSE,0
"138",-0.0416666666666667,-0.358866118763615,0.273891118763615,"dComplex_focus,M_H","WHAT_Ql","reverseB","focus complexity: Medium-Hard","p",45,"",FALSE,0
"139",0,-0.434589183315882,0.4339710014977,"dComplex_focus,E_M","WHAT_Qn","reverseB","focus complexity: Easy-Medium","p",45,"",FALSE,0
"140",0,-0.436458081657522,0.438367172566613,"dComplex_focus,E_H","WHAT_Qn","reverseB","focus complexity: Easy-Hard","p",45,"",FALSE,0
"141",0,-0.42583537255656,0.422312295633483,"dComplex_focus,M_H","WHAT_Qn","reverseB","focus complexity: Medium-Hard","p",45,"",FALSE,0
"142",-0.333333333333333,-0.713283939860685,0.0490839398606854,"dComplex_focus,E_M","WHERE","reverseB","focus complexity: Easy-Medium","p",45,"",FALSE,0
"143",-0.5,-0.905919910427362,-0.0985800895726385,"dComplex_focus,E_H","WHERE","reverseB","focus complexity: Easy-Hard","p",45,"",TRUE,1
"144",0,-0.430179180826574,0.425194565441958,"dComplex_focus,M_H","WHERE","reverseB","focus complexity: Medium-Hard","p",45,"",FALSE,0
"145",0.5,0.186753037825375,0.809326962174625,"dComplex_focus,E","WHAT_Ql","reverseB","focus complexity: Easy","p",50,NA,NA,NA
"146",0.428571428571429,0.219189604102902,0.640134205420908,"dComplex_focus,M","WHAT_Ql","reverseB","focus complexity: Medium","p",50,NA,NA,NA
"147",0.458333333333333,0.259792798973847,0.657748867692819,"dComplex_focus,H","WHAT_Ql","reverseB","focus complexity: Hard","p",50,NA,NA,NA
"148",0.444444444444444,0.121062586701843,0.767026302187046,"dComplex_focus,E","WHAT_Qn","reverseB","focus complexity: Easy","p",50,NA,NA,NA
"149",0.384615384615385,0.123283034218444,0.647593888858479,"dComplex_focus,M","WHAT_Qn","reverseB","focus complexity: Medium","p",50,NA,NA,NA
"150",0.375,0.138203685988953,0.611308814011047,"dComplex_focus,H","WHAT_Qn","reverseB","focus complexity: Hard","p",50,NA,NA,NA
"151",0.166666666666667,-0.134674740210088,0.465574740210088,"dComplex_focus,E","WHERE","reverseB","focus complexity: Easy","p",50,NA,NA,NA
"152",0.523809523809524,0.31240307017479,0.736406453634734,"dComplex_focus,M","WHERE","reverseB","focus complexity: Medium","p",50,NA,NA,NA
"153",0.454545454545455,0.159922299757115,0.749041336606521,"dComplex_focus,H","WHERE","reverseB","focus complexity: Hard","p",50,NA,NA,NA
"154",0.1,-0.329313946030168,0.536733946030168,"dComplex_focus,E_M","WHAT_Ql","reverseB","focus complexity: Easy-Medium","p",50,"",FALSE,0
"155",0.1,-0.340327915605817,0.534667915605817,"dComplex_focus,E_H","WHAT_Ql","reverseB","focus complexity: Easy-Hard","p",50,"",FALSE,0
"156",-0.0476190476190476,-0.411719210947117,0.311614449042355,"dComplex_focus,M_H","WHAT_Ql","reverseB","focus complexity: Medium-Hard","p",50,"",FALSE,0
"157",0.222222222222222,-0.282968424182119,0.729968424182119,"dComplex_focus,E_M","WHAT_Qn","reverseB","focus complexity: Easy-Medium","p",50,"",FALSE,0
"158",0.111111111111111,-0.461168135355869,0.679457024244758,"dComplex_focus,E_H","WHAT_Qn","reverseB","focus complexity: Easy-Hard","p",50,"",FALSE,0
"159",0,-0.427970721570999,0.430678413878691,"dComplex_focus,M_H","WHAT_Qn","reverseB","focus complexity: Medium-Hard","p",50,"",FALSE,0
"160",-0.333333333333333,-0.710027016745522,0.0495936834121886,"dComplex_focus,E_M","WHERE","reverseB","focus complexity: Easy-Medium","p",50,"",FALSE,0
"161",-0.5,-0.901293689421557,-0.100872977245109,"dComplex_focus,E_H","WHERE","reverseB","focus complexity: Easy-Hard","p",50,"",TRUE,1
"162",0.0909090909090909,-0.371803027320892,0.555021209139074,"dComplex_focus,M_H","WHERE","reverseB","focus complexity: Medium-Hard","p",50,"",FALSE,0
