"","mean_CI","low_CI","high_CI","category_combination","focus","question","orderCategoryCombination","filterType","filterValue","X5","significantDifference","sizeSignificantDifference"
"60",0.333333333333333,0.113982749812492,0.549350583520842,"dComplex_focus,H","WHAT_Qn","reverseB","focus complexity: Hard","p",15,NA,NA,NA
"61",0.142857142857143,-0.0412514780494297,0.32625147804943,"dComplex_focus,E","WHERE","reverseB","focus complexity: Easy","p",15,NA,NA,NA
"62",0.541666666666667,0.341372389085591,0.741560944247742,"dComplex_focus,M","WHERE","reverseB","focus complexity: Medium","p",15,NA,NA,NA
"63",0.375,0.181417647579732,0.570390685753602,"dComplex_focus,H","WHERE","reverseB","focus complexity: Hard","p",15,NA,NA,NA
"64",0.111111111111111,-0.147832026036146,0.374743137147257,"dComplex_focus,E_M","WHAT_Ql","reverseB","focus complexity: Easy-Medium","p",15,"",FALSE,0
"65",0.111111111111111,-0.152236739235248,0.370170072568581,"dComplex_focus,E_H","WHAT_Ql","reverseB","focus complexity: Easy-Hard","p",15,"",FALSE,0
"66",-0.111111111111111,-0.347272664631873,0.124924516483725,"dComplex_focus,M_H","WHAT_Ql","reverseB","focus complexity: Medium-Hard","p",15,"",FALSE,0
"67",0.0526315789473684,-0.218013006402354,0.323413006402354,"dComplex_focus,E_M","WHAT_Qn","reverseB","focus complexity: Easy-Medium","p",15,"",FALSE,0
"68",0.0555555555555556,-0.267969245416576,0.379780356527687,"dComplex_focus,E_H","WHAT_Qn","reverseB","focus complexity: Easy-Hard","p",15,"",FALSE,0
"69",0,-0.304406599875612,0.303639933208945,"dComplex_focus,M_H","WHAT_Qn","reverseB","focus complexity: Medium-Hard","p",15,"",FALSE,0
"70",-0.428571428571429,-0.752161571474024,-0.102338428525976,"dComplex_focus,E_M","WHERE","reverseB","focus complexity: Easy-Medium","p",15,"",TRUE,1
"71",-0.214285714285714,-0.508015848357791,0.0795158483577913,"dComplex_focus,E_H","WHERE","reverseB","focus complexity: Easy-Hard","p",15,"",FALSE,0
"72",0.166666666666667,-0.135942777596348,0.468442777596348,"dComplex_focus,M_H","WHERE","reverseB","focus complexity: Medium-Hard","p",15,"",FALSE,0
"73",0.444444444444444,0.214425444290725,0.67251900015372,"dComplex_focus,E","WHAT_Ql","reverseB","focus complexity: Easy","p",20,NA,NA,NA
"74",0.34375,0.180420712542007,0.509635537457993,"dComplex_focus,M","WHAT_Ql","reverseB","focus complexity: Medium","p",20,NA,NA,NA
"75",0.444444444444444,0.259596506998313,0.629003493001687,"dComplex_focus,H","WHAT_Ql","reverseB","focus complexity: Hard","p",20,NA,NA,NA
"76",0.466666666666667,0.212589896024547,0.72015677064212,"dComplex_focus,E","WHAT_Qn","reverseB","focus complexity: Easy","p",20,NA,NA,NA
"77",0.347826086956522,0.152662528918725,0.54201573195084,"dComplex_focus,M","WHAT_Qn","reverseB","focus complexity: Medium","p",20,NA,NA,NA
"78",0.352941176470588,0.127304240587295,0.580766347647999,"dComplex_focus,H","WHAT_Qn","reverseB","focus complexity: Hard","p",20,NA,NA,NA
"79",0.166666666666667,-0.0438406158766541,0.377823949209987,"dComplex_focus,E","WHERE","reverseB","focus complexity: Easy","p",20,NA,NA,NA
"80",0.541666666666667,0.341624398457581,0.744400601542419,"dComplex_focus,M","WHERE","reverseB","focus complexity: Medium","p",20,NA,NA,NA
"81",0.391304347826087,0.193423279669971,0.590741937721334,"dComplex_focus,H","WHERE","reverseB","focus complexity: Hard","p",20,NA,NA,NA
"82",0.111111111111111,-0.152417650792467,0.3751509841258,"dComplex_focus,E_M","WHAT_Ql","reverseB","focus complexity: Easy-Medium","p",20,"",FALSE,0
"83",0.111111111111111,-0.153251686746595,0.37750724230215,"dComplex_focus,E_H","WHAT_Ql","reverseB","focus complexity: Easy-Hard","p",20,"",FALSE,0
"84",-0.111111111111111,-0.348074601114586,0.125911638151623,"dComplex_focus,M_H","WHAT_Ql","reverseB","focus complexity: Medium-Hard","p",20,"",FALSE,0
"85",0.2,-0.072569219789909,0.479675886456576,"dComplex_focus,E_M","WHAT_Qn","reverseB","focus complexity: Easy-Medium","p",20,"",FALSE,0
"86",0.0666666666666667,-0.22189818087629,0.351471514209623,"dComplex_focus,E_H","WHAT_Qn","reverseB","focus complexity: Easy-Hard","p",20,"",FALSE,0
"87",-0.0588235294117647,-0.355994989809775,0.242347930986246,"dComplex_focus,M_H","WHAT_Qn","reverseB","focus complexity: Medium-Hard","p",20,"",FALSE,0
"88",-0.416666666666667,-0.695429186510559,-0.138554146822775,"dComplex_focus,E_M","WHERE","reverseB","focus complexity: Easy-Medium","p",20,"",TRUE,1
"89",-0.25,-0.585982742773666,0.0878494094403326,"dComplex_focus,E_H","WHERE","reverseB","focus complexity: Easy-Hard","p",20,"",FALSE,0
"90",0.130434782608696,-0.169484691024319,0.436780343198232,"dComplex_focus,M_H","WHERE","reverseB","focus complexity: Medium-Hard","p",20,"",FALSE,0
"91",0.444444444444444,0.214335589347601,0.673864410652399,"dComplex_focus,E","WHAT_Ql","reverseB","focus complexity: Easy","p",25,NA,NA,NA
"92",0.34375,0.177080761194125,0.509906738805875,"dComplex_focus,M","WHAT_Ql","reverseB","focus complexity: Medium","p",25,NA,NA,NA
"93",0.444444444444444,0.257432846669019,0.63171530147913,"dComplex_focus,H","WHAT_Ql","reverseB","focus complexity: Hard","p",25,NA,NA,NA
"94",0.416666666666667,0.140186393739018,0.692413606260982,"dComplex_focus,E","WHAT_Qn","reverseB","focus complexity: Easy","p",25,NA,NA,NA
"95",0.363636363636364,0.161593806815488,0.565878920457239,"dComplex_focus,M","WHAT_Qn","reverseB","focus complexity: Medium","p",25,NA,NA,NA
"96",0.375,0.138279908877965,0.614182591122035,"dComplex_focus,H","WHAT_Qn","reverseB","focus complexity: Hard","p",25,NA,NA,NA
"97",0.0909090909090909,-0.0834600565086849,0.261423692872321,"dComplex_focus,E","WHERE","reverseB","focus complexity: Easy","p",25,NA,NA,NA
"98",0.541666666666667,0.341552684443646,0.739822315556354,"dComplex_focus,M","WHERE","reverseB","focus complexity: Medium","p",25,NA,NA,NA
"99",0.409090909090909,0.200548809987146,0.614823917285582,"dComplex_focus,H","WHERE","reverseB","focus complexity: Hard","p",25,NA,NA,NA
"100",0.111111111111111,-0.153309851266139,0.373876517932806,"dComplex_focus,E_M","WHAT_Ql","reverseB","focus complexity: Easy-Medium","p",25,"",FALSE,0
"101",0.111111111111111,-0.15190863585066,0.374764191406216,"dComplex_focus,E_H","WHAT_Ql","reverseB","focus complexity: Easy-Hard","p",25,"",FALSE,0
"102",-0.111111111111111,-0.348520826479034,0.12627638203459,"dComplex_focus,M_H","WHAT_Ql","reverseB","focus complexity: Medium-Hard","p",25,"",FALSE,0
"103",0.0833333333333333,-0.276547017738293,0.441180351071627,"dComplex_focus,E_M","WHAT_Qn","reverseB","focus complexity: Easy-Medium","p",25,"",FALSE,0
"104",0.0833333333333333,-0.341104968745155,0.503688302078489,"dComplex_focus,E_H","WHAT_Qn","reverseB","focus complexity: Easy-Hard","p",25,"",FALSE,0
"105",-0.0625,-0.38174641603256,0.25760891603256,"dComplex_focus,M_H","WHAT_Qn","reverseB","focus complexity: Medium-Hard","p",25,"",FALSE,0
"106",-0.454545454545455,-0.749609950319561,-0.157790049680438,"dComplex_focus,E_M","WHERE","reverseB","focus complexity: Easy-Medium","p",25,"",TRUE,1
"107",-0.363636363636364,-0.647333327033258,-0.0762121275121971,"dComplex_focus,E_H","WHERE","reverseB","focus complexity: Easy-Hard","p",25,"",TRUE,1
"108",0.136363636363636,-0.177366338978549,0.453329975342185,"dComplex_focus,M_H","WHERE","reverseB","focus complexity: Medium-Hard","p",25,"",FALSE,0
"109",0.444444444444444,0.213237161177902,0.673862838822098,"dComplex_focus,E","WHAT_Ql","reverseB","focus complexity: Easy","p",30,NA,NA,NA
"110",0.34375,0.179046062628175,0.507353937371825,"dComplex_focus,M","WHAT_Ql","reverseB","focus complexity: Medium","p",30,NA,NA,NA
"111",0.44,0.243685964173547,0.634058035826453,"dComplex_focus,H","WHAT_Ql","reverseB","focus complexity: Hard","p",30,NA,NA,NA
