cntrQ,diffB,strTotal
67,0.06341143644376829,idc14-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MME-fcs_WHERE-bsln_17.18)20.10)20.58_f-cntrQ_67
68,-0.11229627828447547,idc31-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MHE-fcs_WHERE-bsln_18.48)18.79)23.51_t-cntrQ_68
69,-0.04482195602262562,idc4-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_HEE-fcs_WHERE-bsln_17.87)19.96)18.85_t-cntrQ_69
70,-0.11592085613071101,idc39-eG-wO-qry_gO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_HME-fcs_WHERE-bsln_13.48)15.73)30.10_t-cntrQ_70
71,-0.08491952249413093,idc33-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_HHE-fcs_WHERE-bsln_18.49)18.52)33.33_t-cntrQ_71
72,-0.07144387850481393,idc1-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_EEE-fcs_WHERE-bsln_16.47)15.53)14.58_t-cntrQ_72
73,-0.02603791147633866,idc68-fC-gO-qry_wO_gte_1-flips_h1v1-nMasks_8-dMask_hard-dCmplx_EME-fcs_WHERE-bsln_18.97)16.08)23.17_t-cntrQ_73
74,0.06041885882069059,idc29-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_EHE-fcs_WHERE-bsln_17.83)14.86)20.64_f-cntrQ_74
75,-0.029794090319352706,idc69-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_8-dMask_hard-dCmplx_MEE-fcs_WHERE-bsln_16.16)16.02)47.12_t-cntrQ_75
76,-0.1723915499496908,idc14-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_MME-fcs_WHERE-bsln_19.61)20.10)25.40_t-cntrQ_76
77,0.08197674438470032,idc31-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_MHE-fcs_WHERE-bsln_15.97)18.79)46.13_f-cntrQ_77
78,0.006722239185314449,idc4-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_8-dMask_hard-dCmplx_HEE-fcs_WHERE-bsln_21.53)19.96)33.60_f-cntrQ_78
79,0.05571723054854927,idc39-eG-wO-qry_gO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_HME-fcs_WHERE-bsln_19.38)15.73)24.08_f-cntrQ_79
80,-0.0829965071053344,idc33-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_HHE-fcs_WHERE-bsln_15.82)18.52)38.36_t-cntrQ_80
81,-0.086913103482741,idc1-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_EEE-fcs_WHERE-bsln_16.30)15.53)21.88_t-cntrQ_81
82,0.22759342076612932,idc61-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_MEM-fcs_WHAT_Qn-bsln_45.97)44.19)49.20_f-cntrQ_82
83,-0.5592731016869591,idc38-eC-wO-qry_gO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_MEH-fcs_WHAT_Qn-bsln_39.07)37.06)29.77_t-cntrQ_83
84,0.6872989450990434,idc14-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_MME-fcs_WHAT_Qn-bsln_16.87)23.96)51.2_f-cntrQ_84
85,-0.3699897575902356,idc59-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_MMM-fcs_WHAT_Qn-bsln_69.83)64.01)26.45_t-cntrQ_85
86,0.1026769295842217,idc47-sF-wO-qry_gO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_MMH-fcs_WHAT_Qn-bsln_21.16)36.42)19.30_f-cntrQ_86
87,0.28627782330567064,idc31-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_MHE-fcs_WHAT_Qn-bsln_42.56)44.19)28.48_f-cntrQ_87
88,0.12223951258992799,idc22-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_MHM-fcs_WHAT_Qn-bsln_68.89)77.48)34.49_f-cntrQ_88
89,-0.07170591795888892,idc20-eC-rO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_MHH-fcs_WHAT_Qn-bsln_63.15)56.13)23.88_t-cntrQ_89
